action,commitment_debt_after,fce_increment,policy_config_id,policy_name,split,true_progress_increment,verifier_queue_after,event_index,cumulative_fce,cumulative_progress,claim_id,decision_score,deferred,delivered,downgraded_actionability,episode_id,hidden_fields_excluded,observed_feedback_delay,online_features_json,progress_deficit_after,regime,rejected,resource_reservation_waste,role,slot
send_actionable,0.9184095,0.2602,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,1.0,0,0.2602,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,2.613101,1.2532,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,1.0,4,1.7097000000000002,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,4.1272315,0.79,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,1.0,8,2.7441000000000004,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,10.5544745,1.2857,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,0.5,12,9.0843,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,9.156116,0.6176,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,1.0,16,9.7019,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,9.05888875,1.2489,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,0.0,20,10.950800000000001,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,8.5436635,0.6498,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,1.0,24,11.600600000000002,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,8.5287475,1.326,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,1.0,28,12.926600000000002,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,10.14482125,1.3063,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,1.0,32,14.481900000000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,11.00536975,0.8754,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,1.0,36,15.609200000000001,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,10.5122305,0.8663,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,0.0,40,16.4755,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,11.99292525,1.5207,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,1.0,44,18.185200000000002,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,12.2672745,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.79268,1.0,48,18.185200000000002,0.79268,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,17.29856471,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.2973747,1.0,52,18.185200000000002,2.8091747,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,17.09683796,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.483835,1.0,56,18.185200000000002,3.2930097,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,17.10850696,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.49362,0.0,60,18.185200000000002,3.7866296999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,17.00494021,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.661485,0.0,64,18.185200000000002,4.4481147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,17.69360646,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.2475681,1.0,68,18.185200000000002,5.46835651,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,16.65082234,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.23920596,1.0,72,18.185200000000002,5.707562469999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,16.60482234,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.432155,1.0,76,18.185200000000002,6.139717469999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,15.98980109,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.48203,1.0,80,18.185200000000002,6.621747469999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,16.13449734,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.385795,1.0,84,18.185200000000002,7.007542469999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,16.25076809,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.471295,0.0,88,18.185200000000002,7.478837469999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,15.74719934,0.0,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.46569,1.0,92,18.185200000000002,7.944527469999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,16.59846354,0.8731,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,1.0,96,19.058300000000003,8.409816329999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
send_actionable,16.83590054,1.2566,pressure_backpressure_cfg006,pressure_backpressure,test_ood_network,0.0,1.0,100,20.3149,8.409816329999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
