commitment_debt_end,deferred,deferred_ratio,delivered,delivered_ratio,downgraded,downgraded_ratio,false_commitment_exposure,generated,policy_config_id,policy_name,regime,rejected,rejected_ratio,resource_reservation_waste,split,true_progress,verifier_queue_end
42.53829,6,0.08333333333333333,59,0.8194444444444444,20,0.2777777777777778,49.22766,72,action_admission_cfg000,action_admission,feasible,7,0.09722222222222222,4.06165,test_id,24.259785,4.0
35.816025,23,0.0798611111111111,232,0.8055555555555556,76,0.2638888888888889,209.49460000000002,288,action_admission_cfg000,action_admission,feasible,33,0.11458333333333333,11.3676,test_ood_template,82.89708499999999,4.0
36.822015,16,0.09523809523809523,136,0.8095238095238095,46,0.27380952380952384,100.08354000000004,168,action_admission_cfg000,action_admission,feasible,16,0.09523809523809523,20.12132,train,55.21886999999999,1.25
43.219765,5,0.10416666666666667,40,0.8333333333333334,9,0.1875,44.92786,48,action_admission_cfg000,action_admission,feasible,3,0.0625,8.7349,validation,17.285575,4.0
54.16105776,8,0.1111111111111111,58,0.8055555555555556,30,0.4166666666666667,43.56075895,72,action_admission_cfg000,action_admission,high_fanout_feasible,6,0.08333333333333333,4.786687499999999,test_id,22.942731600000002,3.25
42.12797664,40,0.1388888888888889,217,0.7534722222222222,119,0.4131944444444444,150.64223700000005,288,action_admission_cfg000,action_admission,high_fanout_feasible,31,0.1076388888888889,2.13095,test_ood_template,75.58229340000004,1.75
48.67914278,30,0.17857142857142858,125,0.7440476190476191,70,0.4166666666666667,59.157668550000004,168,action_admission_cfg000,action_admission,high_fanout_feasible,13,0.07738095238095238,4.981412499999999,train,50.7990798,0.5
50.54873925,6,0.125,40,0.8333333333333334,22,0.4583333333333333,27.691098849999996,48,action_admission_cfg000,action_admission,high_fanout_feasible,2,0.041666666666666664,1.0918625,validation,14.160284999999998,3.25
53.54088449,6,0.08333333333333333,58,0.8055555555555556,31,0.4305555555555556,36.46076815000001,72,action_admission_cfg000,action_admission,network_delay_high,8,0.1111111111111111,4.467815,test_id,19.297133399999996,3.25
40.52932263,31,0.1076388888888889,220,0.7638888888888888,126,0.4375,134.52920280000004,288,action_admission_cfg000,action_admission,network_delay_high,37,0.1284722222222222,2.227236,test_ood_template,62.505306,1.75
49.71921575,22,0.13095238095238096,125,0.7440476190476191,70,0.4166666666666667,57.73585580000001,168,action_admission_cfg000,action_admission,network_delay_high,21,0.125,4.383643000000001,train,42.134707399999996,0.5
50.05127744,7,0.14583333333333334,36,0.75,21,0.4375,18.568373400000002,48,action_admission_cfg000,action_admission,network_delay_high,5,0.10416666666666667,0.960839,validation,11.699736600000001,2.5
135.44319068,54,0.09375,454,0.7881944444444444,384,0.6666666666666666,177.20452000000006,576,action_admission_cfg000,action_admission,verifier_scarce,68,0.11805555555555555,6.696841,test_ood_network,115.87471574999998,1.75
40.49973,6,0.08333333333333333,59,0.8194444444444444,20,0.2777777777777778,49.1083,72,action_admission_cfg001,action_admission,feasible,7,0.09722222222222222,6.6568000000000005,test_id,24.40959,3.25
34.670115,24,0.08333333333333333,231,0.8020833333333334,77,0.2673611111111111,198.4435,288,action_admission_cfg001,action_admission,feasible,33,0.11458333333333333,11.3676,test_ood_template,84.52486999999999,4.0
35.799405,16,0.09523809523809523,136,0.8095238095238095,46,0.27380952380952384,95.32130000000004,168,action_admission_cfg001,action_admission,feasible,16,0.09523809523809523,18.11342,train,56.54362499999999,1.25
42.197155,5,0.10416666666666667,40,0.8333333333333334,10,0.20833333333333334,41.53482,48,action_admission_cfg001,action_admission,feasible,3,0.0625,6.82753,validation,17.285575,4.0
51.03611655,8,0.1111111111111111,58,0.8055555555555556,29,0.4027777777777778,48.29036555,72,action_admission_cfg001,action_admission,high_fanout_feasible,6,0.08333333333333333,4.786687499999999,test_id,22.942731600000002,3.25
33.92509198,42,0.14583333333333334,215,0.7465277777777778,121,0.4201388888888889,141.47303294999998,288,action_admission_cfg001,action_admission,high_fanout_feasible,31,0.1076388888888889,2.13095,test_ood_template,75.77275680000004,1.75
45.55420157,32,0.19047619047619047,123,0.7321428571428571,68,0.40476190476190477,55.197851750000005,168,action_admission_cfg001,action_admission,high_fanout_feasible,13,0.07738095238095238,4.981412499999999,train,51.815646,0.5
47.42379804,7,0.14583333333333334,39,0.8125,20,0.4166666666666667,32.88774465,48,action_admission_cfg001,action_admission,high_fanout_feasible,2,0.041666666666666664,1.0918625,validation,14.160284999999998,3.25
49.3235081,6,0.08333333333333333,58,0.8055555555555556,29,0.4027777777777778,40.51609275,72,action_admission_cfg001,action_admission,network_delay_high,8,0.1111111111111111,4.467815,test_id,19.793767799999998,3.25
36.91987212,31,0.1076388888888889,220,0.7638888888888888,129,0.4479166666666667,128.60354360000002,288,action_admission_cfg001,action_admission,network_delay_high,37,0.1284722222222222,2.227236,test_ood_template,63.617144399999994,1.75
45.50183936,22,0.13095238095238096,125,0.7440476190476191,73,0.43452380952380953,52.00916120000001,168,action_admission_cfg001,action_admission,network_delay_high,21,0.125,2.915374,train,42.764691199999994,0.5
45.83390105,7,0.14583333333333334,36,0.75,21,0.4375,20.1526806,48,action_admission_cfg001,action_admission,network_delay_high,5,0.10416666666666667,0.960839,validation,11.699736600000001,2.5
126.57842243,54,0.09375,454,0.7881944444444444,388,0.6736111111111112,168.0515600000001,576,action_admission_cfg001,action_admission,verifier_scarce,68,0.11805555555555555,6.696841,test_ood_network,116.43858824999998,1.75
36.926805,6,0.08333333333333333,59,0.8194444444444444,21,0.2916666666666667,45.20486,72,action_admission_cfg002,action_admission,feasible,7,0.09722222222222222,4.06165,test_id,24.40959,3.25
33.113715,24,0.08333333333333333,231,0.8020833333333334,77,0.2673611111111111,193.79118,288,action_admission_cfg002,action_admission,feasible,33,0.11458333333333333,8.6676,test_ood_template,85.459115,3.25
