commitment_debt_end,deferred,deferred_ratio,delivered,delivered_ratio,downgraded,downgraded_ratio,false_commitment_exposure,generated,policy_config_id,policy_name,regime,rejected,rejected_ratio,resource_reservation_waste,split,true_progress,verifier_queue_end,withheld_pct,progress_msg,fce_msg,efficiency_k,visual_included
34.79829,6,0.0833333333333333,59,0.8194444444444444,19,0.2638888888888889,49.22766,72,action_admission_cfg010,action_admission,feasible,7,0.0972222222222222,4.06165,test_id,25.025055,3.25,18.055555555555557,0.3475702083333333,0.6837175,9.988140461308108,True
28.426655,24,0.0833333333333333,230,0.7986111111111112,80,0.2777777777777778,184.36686,288,action_admission_cfg010,action_admission,feasible,34,0.1180555555555555,5.20476,test_ood_template,86.13718,3.25,20.13888888888889,0.29908743055555553,0.6401627083333333,10.521372653784118,True
45.61028652,8,0.1111111111111111,58,0.8055555555555556,30,0.4166666666666667,43.90936895,72,action_admission_cfg010,action_admission,high_fanout_feasible,6,0.0833333333333333,4.786687499999999,test_id,23.5257372,3.25,19.444444444444443,0.32674634999999996,0.6098523465277778,7.163874093549543,True
31.79537943,47,0.1631944444444444,210,0.7291666666666666,123,0.4270833333333333,129.9017587,288,action_admission_cfg010,action_admission,high_fanout_feasible,31,0.1076388888888889,2.13095,test_ood_template,79.18311600000001,2.5,27.083333333333332,0.27494137500000004,0.45104777326388884,8.647211636687805,True
45.54992874,6,0.0833333333333333,58,0.8055555555555556,32,0.4444444444444444,35.06422694999999,72,action_admission_cfg010,action_admission,network_delay_high,8,0.1111111111111111,0.962225,test_id,19.7937678,3.25,19.444444444444443,0.2749134416666667,0.4870031520833332,6.035430773906996,True
34.51512037,33,0.1145833333333333,218,0.7569444444444444,135,0.46875,118.57222925,288,action_admission_cfg010,action_admission,network_delay_high,37,0.1284722222222222,2.227236,test_ood_template,66.1232106,2.5,24.305555555555557,0.22959448124999998,0.4117091293402778,6.65199711861819,True
108.84528161,54,0.09375,454,0.7881944444444444,399,0.6927083333333334,156.86500000000007,576,action_admission_cfg010,action_admission,verifier_scarce,68,0.1180555555555555,6.696841,test_ood_network,116.43858824999998,1.75,21.180555555555557,0.20215032682291664,0.2723350694444446,1.8572263660195665,True
29.808765,6,0.0833333333333333,59,0.8194444444444444,18,0.25,51.1751,72,action_admission_cfg018,action_admission,feasible,7,0.0972222222222222,4.06165,test_id,25.025055,3.25,18.055555555555557,0.3475702083333333,0.7107652777777778,11.660000282914549,True
23.152275,24,0.0833333333333333,230,0.7986111111111112,87,0.3020833333333333,171.93878,288,action_admission_cfg018,action_admission,feasible,34,0.1180555555555555,5.20476,test_ood_template,86.50257999999998,3.25,20.13888888888889,0.30035618055555546,0.5970096527777778,12.97307416033869,False
40.42947941,8,0.1111111111111111,58,0.8055555555555556,32,0.4444444444444444,42.22720294999999,72,action_admission_cfg018,action_admission,high_fanout_feasible,6,0.0833333333333333,4.786687499999999,test_id,23.5257372,3.25,19.444444444444443,0.32674634999999996,0.586488929861111,8.081883684091691,True
